,EssayTopic,EssayBody,S1,S2,S3,EssayScore
,"A lot of places in the world rely on tourism as a main source of income. Unfortunately, tourism can also be a source of problems if it is not managed correctly. Do you think that benefits of tourism outweigh its drawbacks? 1","Nowadays, people allocate funds on trips more than it was in the past. For many countries, it is beneficial to use the tourism as their main source of income, so they do all the best to improve quality of tours in the country and also they support the ancient architecture if its there; however, there are some issues which tourism brings as it is the main profit of the country.  Tourist from all over the world annually makes a lot of travel. The country which is receiving guests obtains not only the profit from their presence but also the feedback from them that creates rating of this country. Therefore, the flow of tourists and earnings growth increases. Thus, tourism structure as hotels, resorts and also the rest of leisure industry begin to commit large momentum. It also increases workplace for citizens.  The trouble that it brings is very serious. The issue is the dependence of the country's budget only or mainly on tourism. If something like the epidemic or war had begun, people would not bring income to it. This is a very harmful problem that crosses all the benefits of it. Without tourism, the inhabitants will lose their job and this will bring the economic crisis. The country will wallow in Depts.  In conclusion, there are many benefits which can make the country rich and popular if the quality of living and tourism is excellent. Nevertheless, this harmful problem can be a straight path of going over the cliff. In my opinion, tourism is well as the additional income, but not the primary. ",6.5,6.5,6.5,6.5
,"A lot of places in the world rely on tourism as a main source of income. Unfortunately, tourism can also be a source of problems if it is not managed correctly. Do you think that benefits of tourism outweigh its drawbacks? 1","Nowadays, people allocate funds on trips more than it was in the past. For many countries, it is beneficial to use the tourism as their main source of income, so they do all the best to improve quality of tours in the country and also they support the ancient architecture if its there; however, there are some issues which tourism brings as it is the main profit of the country.  Tourist from all over the world annually makes a lot of travel. The country which is receiving guests obtains not only the profit from their presence but also the feedback from them that creates rating of this country. Therefore, the flow of tourists and earnings growth increases. Thus, tourism structure as hotels, resorts and also the rest of leisure industry begin to commit large momentum. It also increases workplace for citizens.  The trouble that it brings is very serious. The issue is the dependence of the country's budget only or mainly on tourism. If something like the epidemic or war had begun, people would not bring income to it. This is a very harmful problem that crosses all the benefits of it. Without tourism, the inhabitants will lose their job and this will bring the economic crisis. The country will wallow in Depts.  In conclusion, there are many benefits which can make the country rich and popular if the quality of living and tourism is excellent. Nevertheless, this harmful problem can be a straight path of going over the cliff. In my opinion, tourism is well as the additional income, but not the primary. ",6.5,6.5,6.5,6.5
,"A lot of places in the world rely on tourism as a main source of income. Unfortunately, tourism can also be a source of problems if it is not managed correctly. Do you think that the benefits of tourism outweigh its drawbacks? 5","It is true that many economies in the world these days depend heavily on revenue generated from tourism. While there are certain negative consequences of this development/phenomenon, I would argue that these are outweighed by the advantages.  On the one hand, heavy reliance on the tourism industry can cause some disturbing problems. The first downside is the likely destruction of popular destinations. In particular, ancient buildings, temples and monuments struggle to cope with a vast amount of visitors' traffic and get damaged. Also, the large number of tourists can cause environmental problems. For instance, when places of interest are overcrowded, natural resources often become overexploited. What's more, the fact that tourists usually bring a lot of cash and carry valuable items such as phones, cameras, expensive handbags increases the attraction for criminals and brings with it activities like robbery and drug dealing.  On the other hand, despite such issues, many benefits can be derived from the growing development of the tourism industry. Firstly, it is clear that the tourism industry can significantly boost a nation's economy in many aspects. This can be explained by tourists' spending on a wide range of services, including hotels, amusements, transportation, food, and medical services. Secondly, the growth of tourism also increases the level of employment by bringing new jobs. For instance, the influx of tourists results in large demand in restaurant workers, tour guides, hotel staff and employees of retail services, exhorting business owners to hire more people for these positions.  In conclusion, I believe that the advantages of tourism, especially in terms of increased GDP and employment rate, are greater than the drawbacks, namely destruction impact on many destinations and the environment as well as higher crime rate. ",7.5,7.5,7.5,7.5
,"A lot of places in the world rely on tourism as a main source of income. Unfortunately, tourism can also be a source of problems if it is not well-managed. What are the advantages and disadvantages of tourism in the modern world? Do you think that the benefits of tourism outweigh its drawbacks? ","Although holidaymakers contribute hugely to the economies of many popular destinations, the influx of tourists can also cause serious issues. This essay will demonstrate how tourism can transform the economy of poor areas, but will also show that this can lead to such problems as the displacement of local people. Whilst acknowledging that there are drawbacks, the essay will argue that the advantages of the tourist industry outweigh the disadvantages.  One country that has experienced a significant economic boost from tourism is Thailand. Over the past 50 years, many of its small fishing villages, where people often struggled to make a living, have been developed into thriving holiday destinations. With all the hotels, restaurants, shops and other tourist facilities that have been developed, there are now enough jobs for everyone and the general standard of living has greatly increased. Many local people have spotted new business opportunities and become entrepreneurs which has further diversified the economy.  In Venice, on the other hand, the huge popularity of the beautiful canals and stunning architecture with visitors from around the world has had a negative impact on local residents. The growing need for tourist accommodation, places to eat and shops have forced many people from their homes to make way for this new development. Not only have these people suffered by having to move away from their family and friends, but the situation has also resulted in a lost sense of community in the worst affected areas.  In conclusion, although mass tourism can sometimes result in local residents having to be relocated, it greatly improves the lives of most people as well as contributing significantly to the national economy. Hence, the positive effects of developing a tourist industry definitely outweigh the drawbacks. ",6.5,6.5,6.5,6.5
,A lot of places in the world rely on tourism as the main source of income. unfortunately tourism can also be a source of problems if not managed properly. do you think the benefits of tourism outweigh its disdvantages ,"International travelling has become very common worldwide and this has become a major source of revenue for some countries but according to some people it can cause problems if not dealt with adequately. In my opinion, tourism has many benefits like economic development of the country compared to any disadvantages it might bring.  Despite the drawbacks mentioned below, tourism has many benefits like the economic development of a country. When the foreigners from several different countries visit a place, they bring revenue with them. It provides local people with a lot of job opportunities like the tour guides, hotel business flourishes with booking of extra number of rooms and the earning of restaurants quadruples as the tourists take an interest in local cuisines. In addition, it helps to spread the culture and traditions of a country internationally. This may help in a number of ways to improve the international image of a country. For example, ever since, Pakistan has opened its door for international tourism, image of the state has changed into peace loving and noble country. This is of crucial importance in the era when a fierce neighbour is trying to tarnish the image of our country in international politics, hence, tourism is the solutions to send a soft image to the world.  Admittedly, there are a few drawbacks of tourism related to the places which have a maximum influx of traveller during a particular season. For example, the northern areas of Pakistan receive maximum tourists in summer, in other seasons the areas become inaccessible. The local people may lose interest in agriculture and farming as it requires more energy compared to working as a tour guide so it may lead to decrease in crop production. Moreover, the towns and cities may become overcrowded with tourist, especially during vacations and may interfere with daily activities of local people.  In conclusion, the benefits of tourism far outweigh the few minor drawbacks which can easily be managed if government takes adequate measures. ",6.5,6.5,6.5,6.5
,A lot of places in the world rely on tourism as the main source of income. unfortunately tourism can also be a source of problems if not managed properly. do you think the benefits of tourism outweigh its disdvantages ,"Tourism is the main source of income for many countries, which has its advantages and disadvantages. In the modern world, it is one of the most popular industries which in charge of large proportions of the economy. This essay will discuss these factors in detail.  Let us first understand the benefits. The places that are not well known, are able to become popular by promoting themselves. In addition, it helps to improve the country's economy by increasing foreign exchange, at the same time, it also assists in the development of infrastructure. When encouraging tourism, various cities give visitors opportunity to understand the lifestyle, which would attract investors, while benefitting local businesses. For instance, Dubai has tremendously developed over the last 40 years in the same way.  Nonetheless, there are drawbacks to the same. Many countries provide visas without enough scanning, to increase the number of visitors every year. Which would lead to a lot of illegal immigrants who come in search of jobs and do not return. The inability to control this situation, may often lead to an increase in crime. Perhaps, it is important that the right measures are taken to ensure safety of citizens. For example, some places provide on arrival for number of nationalities, with no checks on job position which could eventually worsen the economy.  To conclude, it is a good industry, however, it should be controlled and monitored properly by the government. Necessary measures should be taken, with appropriate laws to filter or control the type of immigrants. ",8,8,8,8
,"A lot of places on the world rely on tourism as a main source of income. Unfortunately, tourism can also be a source of problems if it is not managed correctly. Describe the advantages and disadvantages of tourism in the modern world. Do you think that benefits of tourism outweighs its drawback? ","Many country's main revenue generation is from tourism. Regrettably, problems can arise from mismanaged tourism. Asides the fact that not all tourists are credible, some of them end up staying back and therefore, causing an increase in population. However, tourism enriches the nation by bringing development which attracts foreign investors.  Tourism can have a negative effect on a country, in the sense that some of the visitors might have criminal tendencies. For instance, some convicts may run away from their countries and disguise as tourists in another country. This will result to a high crime rate in the country.  Furthermore, some tourists do not leave at the stipulated time. With this increase in population comes overcrowding and poor standard of living. For instance, a recent survey in India revealed that 50% of the children in public schools belonged to parents who came in as tourists. So the citizens will be at the receiving end.  On the other hand, tourism has been a blessing to many nations. Besides the obvious fact that its a great revenue booster, it also brings about development and popularity of the country. Moreover, developed countries are known to attract investors. For instance, studies has shown that people put their money more in projects that they are certain will earn profit, that is, projects in developed countries. This will in turn enrich the nation greatly.  In conclusion, in as much as tourism may have brought increase in crimes and overcrowding, I believe it has done more good than harm. As it brings about the developed and popularity of a country. ",6,6,6,6
,A lot of social problems can be related to teenagers these days. Some feel that this is because parents are not able to spend enough time to take care of their teenage child. Do you agree or disagree? ,"At present time, teenagers are causing many social difficulties. Some think that it is happening due to spending few time of parents with their children and they are engage with their own job. I agree with this statement because the parents are busy with building own career and they are most likely to support their family financially.  Everyone wants to create his own background without depending anyone. The major means of creating base is earning money and today's generation is tend to do so. So, everybody want to study more and more so that they can figure out an easy way to find job for supporting themselves financially. Sometimes mothers do not leave their job after giving birth of a child. Thus, child do not get enough cear of its mother and grow up with loneliness. When this child become younger, he or she tend to do anything as they want, it might good or bad for society, and bad behaviour causes problem in society.  In other words, having job holder parents of a child get less guidance of parents, who work all day long in an institution, not get that much time to give their child. The parents sometimes ignore their child because of less time. For example, in my neighbourhood, some mothers and fathers both do job and stay minor proportion of their time in their home and with their children. Logically, their children get less guidance and get out from home to make noise and shouting in our roads which disturb the surrounding people. Some people also complained about this to those parents in spite of not getting any response. As a result of this, whole society is concerne about children and forcing them to leave the society.  In a nutshell, parents spending less time with children and more busy with their job are the main reasons of rising anti-social behaviour amongst children, because every parent busy to build their own background and give financial support to their family. ",5.5,5.5,5.5,5.5
,A lot of social problems can be related to teenagers these days. Some feel that this is because parents are not able to spend enough time to take care of their teenage child. Do you agree or disagree? ,"In contemporary society, top priority has been given to youth as its importance in individual growth and social development. There is a controversial discussion among people that many social problems committed by teenagers are mostly blamed to parents' inadequant accompany. For my perspective, I strongly disagree with it, and I reckon social media and school have more essential impacts on this phenomenon.  To begin with, contents published on social media are not likely all optimistic for adolescents. It is commonly known that internet users have the right to speak free online to express their perosonal opinions. Since this case, questionable contents such as violence and pornography are easily imitated by teenagers due to immature value system. With that being said, parents are unlikely to prohibit teenagers' usage of social media in order to prevent imitation.  In addition, school plays an undeniable role in youths' social problems as most of them spend a large amount of time in school during week days. Without a doubt, teachers in school should not only impart textbook knowledge, but also teach correct behaviours. For example, young students have higher change to learn poor behaviours such as bully during school if teachers do not correct them immediately. Parents, in this case, are unaware of nothing if no one acknowledge them.  To sum up, I would certainly object the concept that parents are the main reason for teenagers' delinquency. As far as I am concerned, social media and schools should be more responsible for this phenomenon due to negative impacts from social media and late behaviour correction from schools. ",6,6,6,6
,A lot of social problems can be related to teenagers these days. Some feel that this is because parents are not able to spend enough time to take care of their teenage child. Do you agree or disagree? ,"Nowadays, there is an increasing number of negative social news related to teenagers, which makes many people attribute the problem to the parents' lack of concern for their children. From my perspective, while parents are indeed obliged to spend more time with their children, schools and the government also play important roles in dealing with the issue.  It is undeniable that a child's growing up is inseparable from the parents' care and cultivation. Scientific research has proved that the absence of motherly and fatherly love would subject a kid to a high risk of psychological trauma, thus obstructing him or her from growing to be a mentally healthy person that gets along well with others. Meanwhile, without the necessary supervision and guide from parents, young people would be easily attracted by the representations of violence and crimes on mass media. It follows that they may be motivated to practice violence in the real life and destabilize local community.  In spite of the significance of parenting and family education, one should not ignore the influence of schools, the government, and the entire society on children's personal development. It is in the school that teenagers spend most of their time and establish their knowledge system as well as values and morality. Thus, in addition to focusing on the students' academic performance, schools also need to pay more attention to their psychological wellbeing and guide them to think and behave properly. More importantly, the government should offer financial and institutional support to schools and families, such as increasing educational funding and releasing parents' pressure of raising children. Also, the government is expected to strengthen the censorship of films, TV shows, and the internet, thereby preventing children from exposure to explicitly violent contents.  In conclusion, teenagers' crimes and misconducts have a lot to do with the problems of their family and parents. Nonetheless, only through the efforts of schools, the government, and the whole society can those problems be effectively solved. ",6,6,6,6
,A lot of social problems can be related to teenagers these days. Some feel that this is because parents are not able to spend enough time to take care of their teenage child. Do you agree or disagree? ,"Youngsters in their teens today, are becoming a source for a lot of social issues. There is a great majority of people who have an opinion that this is because parents do not spend much time to look after their offsprings. This essay will discuss why I agree with the aforementioned.  In today's burgeoning competition, people thrive to be successful in their respective fields. For that, they work a lot harder and often miss out on spending a good amount of time with their children and family. To illustrate, with IT industry expanding with the current pace, an individual is willful to break the norms and work overtime to go hand in hand with other people in the same profession thus remaining aloof from the family time, particularly their young ones. These are some of the facts which explain the increasing differences between the parents and their adolescents.  In addition, modern day youngsters are also somewhat guilty of not devoting much time to their kin. They prefer giving most of their time to their pals thus leaving their parents longing for their love. To support this fact, in the USA, it has been found in a survey, that about 40% of the people in their teenage like spending much of their free time with their friends as they find a great sense of leeway there. It is for these reasons why today, parents and their children are not able to spend much of the time together.  To sum things up, teenagers today give rise to a lot of problems for the community. This essay discussed why I agree that parents should spend much more time with their family than what they are doing at present. ",6,6,6,6
,A lot of social problems can these days be related to teenagers. Some feel that this is because parents are not able to spend enough time and take care of their teenage child. Do you agree or disagree? ,"It is an inevitable fact that social problems related to teenagers are a popular, indisputable and debatable issue in this contemporary world. Who is responsible for these social problems? Is it the teenagers, parents or teachers? Well, I am inclined to agree with the statement that parents play a vital role in every individual's life. I would like to propound and expound on this topic to get to a concrete decision.  Firstly, many teenagers lack of social awareness does huge harm to environment by throwing the trash in nearby public areas, spitting and polluting the lanes with their 'No pollution control' vehicles. However, teachers and parents can educate them the effects of the environment. Furthermore, young adolescents talking some abusive and showing violent behaviour should be banned among schools and at homes and should be strictly punished, so that this will not be repeated next time. For instance- I saw an article in the newspaper regarding the young boy talking nonsense and using abusive language to an old man in public transport. Apparently, parents must control and educate the children in a viable way to respect elders and to make them learn what is good and what is bad from the early age.  Secondly, there has been appalling, indisputable facts recorded in recent times that school students are ragging their juniors and misbehaving with other students. In addition, independence and lenience have been given by the school authorities because of parents force which made students to misbehave. There is a saying that, having anything more than enough is not a good thing. Although many people think its parents responsibility to take care of their children, some people think its the technology and generation gap which plays a paramount role in changing children's lifestyle. For instance- parents can control the use of mobile phones and regular follow up with the school management can change the behaviour with good guidance.  To conclude, I am inclined to agree with the aforementioned statement that parents play a crucial role in any child's life, if they don't take good care and sparing some time from their busy work schedules, children are more likely to get into social problems unaware of what will happen to their future. Therefore, it's just not only parent's responsibility, but also teachers and the community surrounding them with good guidance making every individual as a good citizen of the country. ",8,8,8,8
,A lot of social problems can these days be related to teenagers. Some feel that this is because parents are not able to spend enough time and take care of their teenage child. Do you agree or disagree? ,"The number of teenagers impacted by social problems is on the rise. Many believe that the root cause of this is the inability of the parents to give time and support to their children. This essay will argue why despite the overhaul of social media and technology, educating children about social issues is completely the responsibility of the parents.  Today's teenagers face many social problems such as online bullying and body shaming. Some children are able to talk about them to their friends, teachers or relatives and get adequate support. There are also many social forums like support groups, grooming classes to name a few, which educates children about the current social problems and how to deal with them. For instance, schools have started to include a mandatory counselling for students of age group 12-18 years. This helps them to learn about the causes of these issues and ways to avoid them in a cordial environment. Because of these few reasons, many believe that teenagers are equipped to deal with social problems and take care of themselves.  Although, children have all the required support these days, but when it comes to discussing a problem or seeking advice, they still look up to their parents. Thus, it is the duty of the parents to take time out from their schedules and support them. Moreover, parents must indulge in activities with their children and foster their hobbies. A study by Harvard University suggested that teenagers who on average spend 6-7 hours per week with their parents have 40 percent less chances to suffer from any kind of social problems. These few reasons bolster the notion that it is completely the responsibility of parents to seek time for their teenage children and take care of their mental health.  To conclude, it is evident that no matter how many relatives or friends a teenager might have, nothing comes closer to spending time and talking with parents. Hence, I strongly agree that parents must put all their endeavor to spend quality time with their children and educate them about the common problems that teenagers face these days. ",6.5,6.5,6.5,6.5
,"A person's worth nowadays seems to be judged according to social status and material possesions. Old-fashioned values, such as honour, kindness and trust, no longer seem important. To what extent do you agree or disagree? ","It is true that in modern life a great number of people consider that the wealth may consist of the customer's financial circumstances and their level in society. Ancient worth of the trustworthy and humbleness might be become superficial. I totally assert this point of view and in the essay the relative examples will be outlined, before some ideas are drawn.  I truly advocate that opinion of the value are changed completely than it used to. Because in today's world almost every people endeavour to receive high income, salary and benefit in order to improve their social stature which is thought the key factors of the up-to-date individuals' worth. For example, one of the most popular businessmen of the world that MC. Donald can easily deserve customer among a large number of heart, because of him a great amount of money and a high rate of situation. As a result, almost every person as I think a soul's worth can be measured by their a financial force.  On the other hand, although supports the kind of ideas which is a value based on finance would be sensible, it does not necessarily mean that all people think so. Since there are some who argue human's wealth may be not accounted via their social prominence or wealth. For instance, in India the intolerant, and kindness body will be admired much rather than the wealthy body. In that case this type of ideas may not be always true.  All things considered, I reaffirm that despite there are some the against considerations, in the developed living people consider that worth is high level degree of money and dignity. ",8,8,8,8
,"A person's worth nowadays seems to be judged according to social status and material possessions. Old-fashioned values, such as honor, kindness and trust, no longer seem important. To what extent do you agree or disagree with this opinion? 1","It is true that people are judged based on their social status and personal wealth nowadays, and traditional values such as integrity and honesty are being forgotten. To a certain extent, I would agree with the fact that people are valued based on their wealth and status these days, but I also believe that old fashioned values still play an important part in our society. On the other hand, the advancement of technology in this digital age has led to change human's attitude and concept. One of the reasons this development is that media encourage young people to follow the wrong role model. They are misguided by the notion that a person should be wealthy and famous to be successful. They do not care whether the person they admire has character or integrity. They are blinded by the hype surrounding these people. Not surprisingly, a study conducted by a well-known university in 2016 revealed that 75% of girls aged between 14 and 18 years would rather be like Khloe Kardashian than Madam Curie or Mother Teresa.  However, the basis of being human is trust and kindness. Many things in life, the outside beauty, perfection is not the most important to the inner beauty and perfection. For instance, a vegetable at grocery store tastes bad, but high nutrient content, a book with the colourful cover page but boring and uninspiring. A beautiful woman with a perfect figure, but not a good choice for you to marry. If something on the outside has not defected, we are excited and believe it is the same on the inside. And then business people are still looking for business partners, who are reliable, can be trusted, and dependable. Therefore, it is important for adults to educate their children about these positive values because they still play an essential part in the societies.  In conclusion, even though people are judged based on their wealth and social status nowadays, but I do believe that old fashioned values such as honour, respect and trust cannot be eliminated from our daily lives. Therefore we must teach our young generation about these cultures, in order for them to epitomize. ",6,6,6,6
,"A person's worth nowadays seems to be judged according to social status and material possessions. Old-fashioned values, such as honor, kindness and trust, no longer seem important. To what extent do you agree or disagree with this opinion? 2","It is often argued that, with the advent of urbanization and rise in economic standards, people are now no longer influenced by moral values. Personally, I am strongly convinced with this view. In my opinion, many people around the world now associate wealth with social prestige. In this essay, I shall examine a number of studies to justify the presented viewpoint.  To begin with, ever since the recent industrial revolution, television and mass media have played a crucial role in shaping our society. Media often portrait wealthy people as a significant role model, their assets and lifestyle are displayed as the symbol of luxury and success. Owning to this, a majority of the world's population, is now convinced that, a person's worth in society is now a measure of the owned assets. In order to achieve this fake sense of superiority, many people often buy products which are far above their affordable range. As a result, a majority of the world's population is overwhelmed by financial debts. For example, a recent study published by Oxford University illustrated that, people with financial restrictions and lower living standards, often feels isolated from their society and are more likely to experience mental distress.  In addition, many people often commit serious criminal offence such as credit card fraud, corruption, in order to keep up with the high profile lifestyles. This is borne out by a study conducted by the University of Melbourne which demonstrated that, more than 50% of credit card frauds committed are the result of their need to keep up with higher social standards  In conclusion, from the above stated reasoning, I am inclined to say that, people no longer value moral characteristic rather they are more fascinated by wealth. ",7.5,7.5,7.5,7.5
,"A person's worth nowadays seems to be judged according to social status and material possessions. Old-fashioned values, such as honor, kindness and trust, no longer seem important. To what extent do you agree or disagree with this opinion? 9","Nowadays, a person who has the materialistic possessions and a high profile background are considered more important than how his values or personality traits are. I moderately agree with this viewpoint, as I believe a person's profile can make him powerful, but his inner values can only earn him respect.  An individual's characteristics such as honour, kindness and trust forms the basis of long term relationships; not only at present, but also maintains respect after his death. For example, The Mother Teresa; she is well known not for her material wealth, but for her generosity and the value of human life. The fame and status may seem worthwhile at the moment until one possesses money and or a post. When that is gone, no one will ever remember him. To exemplify, there are many such politicians who once were the face of their region or nation, however nobody remembers them at present. Thus, old fashioned values are essential to be alive in people's heart for a long time.  On the other hand, it is also true to say that people are attracted towards power and social status. No matter how well cultured one is, he can merely achieve success in the present world, unless he has some connection with high profile people. That is why, these persons with economic blessings and social status are considered as the very important personalities. They use money and power to achieve everything they desire, even get away with serious crimes. For instance, Nirmala rape case in Nepal, where the case could not move forwards, just because the accused was the son of some powerful politician. Undoubtedly, it is sad, even though it is a reality; a person's worth nowadays is judged according to his social position and property.  In conclusion, I moderately believe that these days someone is considered important if he has huge possession and position; meanwhile, I think to earn respect, we still need a good personality. ",8,8,8,8
,"A person's worth nowadays seems to be judged according to social status and material possessions. Old-fashioned values, such as honour, kindness and trust no longer seem important. To what extent do you agree or disagree with this opinion? Give reasons for your answer and include any relevant examples from your own knowledge or experience. 3","Given the power and influence of the super rich, it may seem as if social status and material possessions are the new symbols of personal worth, but in everyday life | do not think this is true. It is apparent that most celebrities today are admired or envied solely for their material wealth or status in various social hierarchies. Many of these people are known to turn their backs on friends, cheat on their spouses or spend their evenings - indulging in alcohol and / or drugs. Things like owning a mansion, driving an expensive car and getting into A - list parties are exalted above old - fashioned values. Ultimately, though, it is the gossip of many readers of magazines and celebrity blogs who reinforce these ideas, Nevertheless, I believe that in their day-to-day lives most people still believe in values ​​such as honour, kindness and trust. In some ways most of us want to form loving families, raise our children to be good citizens, stand up for the downtrodden and protect our communities from harm. We still form old friendships based on friendships, romances and business partnerships. When our trust is abused or we are unfairly treated, we see that as a major violation of our relationship and we judge the wrongdoer accordingly. In conclusion, I believe there is some truth to the notion that status and possessions have superseded old-fashioned values ​​as a measure of a person's worth. Looking beyond the tabloids, however, it is apparent that most ordinary people still have an old-fashioned conscience. ",6.5,6.5,6.5,6.5
,"A person's worth nowadays seems to be judged according to social status and material possessions. Old-fashioned values, such as honour, kindness and trust, no longer seem important. 0","Social status, wealth and material possession have turned into the indicators to judge someone in the society these days while traditions, good quality and honour are no longer valued, though they are the de facto to judge a person. I agree that modern world has a completely different set of criteria for assessing or honouring a member of the society, though they are not the real elements to define a person.  Earlier, societies had some specific indicators to judge a man or woman. Among the judging indicators, they preferred qualities like honesty, kindness, trusts, honour etc. But with the change of time, such pointers have vanished. Unluckily the present society prefers social status or riches to judge anyone. A real-life experience may make it simpler. Recently, I closely observed a local election in a distant part of India. Among the two candidates - one of them came from a high profile background while the other one was a shabby man who merely had his own permanent living space in the locality. The majority of the people supported the first individual. They took him granted as a gentleman as he is enriched with material possessions. On the contrary, only a few people supported the poor guy. He was unable to spend bucks for the election but was competing on some moral grounds. He dreamt of changing the society. Unluckily he was defeated by the wealthy candidate. The rich man did not allow his opposition to be an obstacle to his success.  This triumph and defeat made me realise that material possessions are the key to judging as important in society. When people have enough riches to spend, they can buy social status and supports. But unfortunately, when someone comes up with humanitarian features, social elites term them as old-fashioned. They are ignored.  Therefore, I think such ideas should be changed. We should appreciate the humane features than social status and material possessions. Otherwise, the consequences will be detrimental. When the social status will be the indicator to judge oneself, I believe that would be too humiliating and may lead to massive social disorder. ",5.5,5.5,5.5,5.5
,"A person's worth nowadays seems to be judged according to social status and material possessions. Old-fashioned values, such as honour, kindness and trust, no longer seem important. 1","We live in a world in which everyone is judgmental to the extent that one often makes inconsequential remarks in regards to things that does not affect one in the least bit, such as if other people are driving a Lamborgini or if they are carrying a Hermes bag. It seems as though old fashioned values such as honour, generosity, and trust do not amount to much in today's condemnatory world. Apropos of the statement, I am in part accordance with it.  It is inarguable that a staggering number of people only consider about how their connection can bring advantages to them when befriending someone. For instance, one might think twice before making friends with someone who is kind but impoverished, as there is no benefit that is likely to stem from the connection. On the flip side, ingratiating with someone who displays ostentatious wealth might be more auspicious for one in the future.  Similarly, one from a wealthy family might feel hesitant to befriend someone who is struggling to make ends meet, seeing as the latter is not on the same level with one in terms of social status. Also, there is no guarantee that one will not be on the receiving end of bullying if one befriends someone of a lower status. Case in point, kids from my school will not let Jaycea hear the end of it because she is friends with Elaine, a driver's daughter, notwithstanding the fact that Elaine is trustworthy and dependable.  On the contrast, I also believe that it is unreasonable to stereotype the whole society based on the behaviour and way of thinking of some people. Like the aforementioned case in which Jaycea is willing to befriend Elaine despite being bullied, it shows that it is possible for some people to value trust and generosity over social status.  To sum up, while it is commonplace for people to hold a higher value of material possessions and social status in this overcritical world, there are also people who value old fashioned values more and they are not to be overlooked. ",6,6,6,6
,"A person's worth nowadays seems to be judged according to social status and material possessions. Old-fashioned values, such as honour, kindness and trust, no longer seem important. 2","It is true that people are judged based on their social status and personal wealth nowadays, and traditional values such as integrity and honesty are being forgotten. To a certain extent, I would agree with the fact that people are valued based on their wealth and status these days, but I also believe that old fashioned values still plays an important part in our societies.  It is believed that we are living in the pop culture and materialistic era these days, as the public judge each individual based on his/her social status and wealth. It can be seen from how celebrities become famous nowadays. Many celebrities are being popular because of their physical appearance and personal wealth such Kim Kardashian. Her reality television program never shows any world class acting quality, but only shows about her luxurious mansions and fancy cars. And then there are other celebrities who are well known due to his/her social status as the son or the daughter of a wealthy family. One of the examples would be Paris Hilton. Although she has many bad attitudes, she is still popular because she inherits the assets of her parents.  Although traditional values such as respect others, being responsible, honesty and integrity seem to be forgotten nowadays, but they still play an important part in many communities. In common cases, employers are still assessing their potential employees based their hard working attitude, positive behaviour and their integrity. And then business people are still looking for business partners who are reliable, can be trusted, and dependable. Therefore, it is important for adults to educate their children about these positive values because they still play an essential part in the societies.  In conclusion, even though people are judged based on their wealth and social status nowadays, but I do believe that old fashioned values such as honour, respect and trust cannot be eliminated from our daily lives. Therefore we must teach our young generation about these cultures, in order for them to survive and succeed in the future. ",5.5,5.5,5.5,5.5
,"A person's worth nowadays seems to be judged according to social status and material possessions. Old-fashioned values, such as honour, kindness and trust, no longer seem important. 4","More and more people nowadays believe that social status and material possessions are the most important features in one person. However, they are completely wrong.  In our technological world all of us forget what are the real values we should possess. We are thinking that our life is a competition in which we have no real friend who could trust so we behave cold, losing ours kindness.  The real problem though is that losing these values is a tendency by youngsters who are using their smartphones non-stop. Because it is a technology which made the world a material one. These young people would give the exact same example to their children so it would become odd if someone is kind or trusting.  I do not think that we realise the risks of being material. Even though it sounds like a cliche, it is true: Money can not buy you happiness. Yes, you would be pleased if you have a big house with a pool, some modern cars and a huge company but where is your big family? To be a happy, loved, honoured, kind and loving person does not require material possessions and a particular social status. It requires a big heart.  In the past people were divided into groups by their social status. These on the bottom of the pyramid were living a terrible life because the only thing they possessed were some vital values.  My opinion is that we should not go back in these times. The only change which is necessary is to ensure a good life for everyone - let's make the world a modern but a pleasant place. ",6.5,6.5,6.5,6.5
