EssayTopic,EssayBody,S1,S2,S3,EssayScore
"A person's worth nowadays seems to be judged according to social status and material possessions. Old-fashioned values, such as honour, kindness and trust, no longer seem important. To what extent do you agree or disagree with this opinion? 1","In modern society , affluent people are more respected @DATE @DATE . However , I believe having an amusing personality , a kind - heart and being trustworthy is more significant .   @DATE @DATE , contemporary society is highly influenced by celebrities , who drive expensive cars , wear branded clothes and own a mansion . However , they are the ones who are drug addicts and abuse their bodies in different ways . Happiness which is directly dependent on materialism does not last long because these needs are never ending . Consequently , these humankind never get a sense of fulfillment , also never grateful for what they already have , this leads to depression and anxiety . For instance , A study published in The @ORG newspaper shows that @PERCENT @PERCENT of famous public - faces go through anti depression treatment at least once in a lifetime . Thus , judgements based on someone 's possessions are often incorrect .   Also for building good business relations , trust is vital and considered important by organisations before signing any deal . Moreover , money can not buy everything , for example a good character or healthy relationships . While choosing friends or a life partner their personality traits are highly significant because no one can stay happy with an arrogant or negative personality . A survey published in a well - known magazine demonstrates that people who are intrigued by money are often depressed and lead an unhappy life .   In conclusion , It is true that our community is getting highly influenced by rich and famous celebrities . Nevertheless , I opine that money does not guarantee a good character or solid relationships . Hence , we should still consider our conventional values to be more important .",6.5,6.5,6.5,6.5
"A person's worth nowadays seems to be judged according to social status and material possessions. Old-fashioned values, such as honour, kindness and trust, no longer seem important. To what extent do you agree or disagree with this opinion? 1","Money and status are highly valued in @DATE 's society and have changed our values to some extent . However , in everyday life I do n't believe a person 's worth is judged that differently to in the past .   It is apparent that most celebrities @DATE are admired or envied solely for their material wealth or position in various social hierarchies . Many of these people are known to turn their backs on friends , cheat on their spouses or spend their evenings over - indulging in alcohol and/or drugs . Things like owning a mansion , driving an expensive car and getting into A - list parties are exalted above old - fashioned values . Ultimately , though , it is the many readers of gossip magazines and celebrity blogs who reinforce these ideas .   Nevertheless , I do believe that in their day - to - day lives most people still believe in values such as honour , kindness and trust . In some way most of us want to form loving families , raise our children to be good citizens , stand up for the downtrodden and protect our communities from harm . We still form friendships , romances and business partnerships based on old - fashioned criteria . When our trust is abused or we are unfairly treated , we see that as a major violation of our relationship and we judge the wrongdoer accordingly .   In conclusion , while status and possessions as a measure of a person 's worth have become more popular , the behaviour of most ordinary people shows that the old values are still strong . It is unlikely that honour , kindness , and trust will ever be replaced while parents continue to teach their children to respect them .",7.5,7.5,7.5,7.5
"A person's worth nowadays seems to be judged according to social status and material possessions. Old-fashioned values, such as honour, kindness and trust, no longer seem important. To what extent do you agree or disagree with this opinion? 5","It is a widely held perception that the measurement of personal achievement has shifted over @DATE @DATE . The conventional value such as honour , kindness and trust , no longer held important weight in our culture . Some believe that financial status is the core factor in judging one 's worth . I personally hold the opposite view , and my reasons are twofold .   @ORDINAL of all , there is a growing tendency in our culture that value materials gain a great deal . However , there is no shortage of examples that indicate many wealthy public figures have dysfunctional families . Such phenomenon reflects that material possession plays an insignificant role in one 's family life . Some would argue that the most fundamental measurement to one 's achievement is their relationship with their family , in which honesty and loyalty are required instead of money .   @ORDINAL , culture as a whole is constantly promoting ill - advised images of celebrities and their expensive cars and mansions which reinforced such twisted value that financial gain is the ultimate goal of @CARDINAL 's life . However , during times of crises and adversity , citizens often seek help from doctors , teachers and soldiers , which many are under - paid or paid an average amount of salaries . It is clear that their value to society is crucial , yet immeasurable by money .   In conclusion , I reaffirm my position that it is vital to promote the traditional value in our society . Although it is inevitable that money and material possessions have become increasing important to our daily life , honour , kindness and trust are still the fundamental codes of conduct , which are ensuring the prosperity of our society .",6.5,6.5,6.5,6.5
"A person's worth nowadays seems to be judged according to social status and material possessions. Old-fashioned values, such as honour, kindness and trust, no longer seem important. To what extent do you agree or disagree with this opinion? 5","It is often argued that @DATE @DATE , position and wealth are more important in determining a person 's value rather than traditional ethics of honour , kindness , and trust . I completely agree with this statement because as mankind has evolved , so does the principles that we carry .   Our traditional values shifted as technological advancement took place along with globalization . As a result , our original values , that we hold to a certain standard , become blurry because negative influences were entering our nation from every way possible , either technologically or culturally . Furthermore , These developments helped improve the world economy . A lot of countries that were undergoing recession experienced a dramatic upturn in their economies . Thus , the idea that money can buy us happiness was born because having money was a rarity during that time . People would also believe that if they were someone of importance , their wishes would instantaneously come true , which was essentially accurate . For instance , someone who works in the government around that time would have easier access to numerous necessities .   In addition , social segregation becomes more apparent as the years go by . The distinct features of different social class are fairly visible . Consequently resulting in discrimination over those who do n't belong in the same class . Individuals who belong in the higher social class hold themselves up to be superior than others .   Such thing can be seen in our daily life , like how students with a wealthier background will go to private school , whereas those who are not so fortunate will go to a public one   In conclusion , I agree that hitherto , our perspectives on the values that are important have definitely shifted for numerous reason . However , it does n't mean that those values are necessarily the right ones to prioritize .",7.5,7.5,7.5,7.5
"A person's worth nowadays seems to be judged according to social status and material possessions. Old-fashioned values, such as honour, kindness and trust, no longer seem important. To what extent do you agree or disagree with this opinion? 6","In the modern era of cut throat competition , where people are burning their midnight oil to earn good livelihood for their families , values and ethics have lost their importance . I totally agree that ethics and values are very important in one 's life and it shows the environment in which we bought up . In this essay , we will discuss both sides of the coin before any conclusion can be drawn .   @ORDINAL , ethics and values hold great importance in life , both personally and professionally . Nowadays , people are being judged by their social status , instead of their values of life . For example , we @NORP are very religious by nature , but in daily life we forget our values for little gains . Values are those acts we learn in our childhood from our parents and relatives . It means understanding other people 's emotions and respecting their culture and lives . Also , no business and profession can progress without trust , values and ethics . All your degrees and certificates make no sense , if you do not know how to respect other people . Furthermore , good ethics and values depicts your country , culture and heritage . For example , @NORP are famous in international countries for their customs and values , such as how we touch our parent 's feet in the morning etc .   @ORDINAL , some people think that no business and profession is possible @DATE @DATE , while maintaining old values and traditions . Young generation has failed miserably in preserving those old values . Some of the old traditions have gone obsolete and inappropriate in @DATE 's world and a new set of traditions should be created instead . Our education system plays an important role in a child 's development and values should be taught to them in early stages . For example , it was widely held belief that students should respect their teachers , but now teachers can not even scold students for their mistakes .   To conclude , people with good values and ethics automatically attract people towards them . It shows that you belong to a good family and brought up in the healthy environment . It is truly said that the aim of education is the knowledge not of facts , but values .",8.0,8.0,8.0,8.0
"A person's worth nowadays seems to be judged according to social status and material possessions. Old-fashioned values, such as honour, kindness and trust, no longer seem important. To what extent do you agree or disagree with this opinion? 7","In recent times , wealth determines the capability of an individual . It gives us an image that , human beings are assessed based on their riches and their prominence , rather than based on their essential values such as honesty and kindness as these seem to be far less necessary . I certainly agree with this perception wherein whopping finances determine the status of an individual . However , I have some hesitations in completely accepting it . This essay will discuss in detail about my opinion , which is slightly inclined towards the former .   On the @CARDINAL hand , human life is reduced to making money surreptitiously . Most of us dislike to acknowledge this phenomenon . Furthermore , the one who earns more , enjoys a monopoly over his business and so he is put on limelight for his repeated success over his rivals . He is considered as an inspiration for the rest of the youths to follow . His finances grow multi - fold with his name being spelled across all the global capitals . For example , @PERSON @PERSON became prominent ever since his company @ORG ruled the entire planet with virtual workspaces . His profits are more than that of the entire people 's finances on the planet . Therefore , we tend to get attracted by such soft power rather looking at ingrained values .   On the other hand , there are several people who stick to their noble values such as kindness , honesty and integrity . For example , a company in @LOC @LOC had invented a way of converting plastic to combustible fuel in a legitimate way . However , their invention was arraigned and their ideas were stolen by people who want to make huge profits by selling the existing crude oil . Their intention was to maximise their profits by blocking the integral ideas and values . Therefore , honesty and kindness are considered as mostly dead . Thanks to the respiring judiciary , which gives us a bleak hope that these integral values are still appreciated .   To recapitulate , making skyrocketing profits or achieving stardom is a luxury which not all can replicate . We need to appreciate the way they made a success and imbibe it to our life , if it aligns with our moral values . However , by completely ignoring the legitimate values to achieve success will push us into an oblivion .",8.0,8.0,8.0,8.0
"A person's worth nowadays seems to be judged according to social status and material possessions. Old-fashioned values, such as honour, kindness and trust, no longer seem important. To what extent do you agree or disagree with this opinion? 9","In @DATE 's world , it is seen that people are being judged with respect to their social status and bank account other than their moral values such as kindness , honour , loyalty and trust . It is true that a person 's lifestyle is more inspired by the people around them and he is more likely to be accompanied by a group of people .   To begin with , the foremost example that comes to my mind , related to material possessions , is of the corporate world . It is from my personal experience , I have witnessed that , the designation of a person counts , and they are listened by most of the people , even if their ideas are not relevant . On the other hand , the average employee with great solutions will not be given the same importance by the management . Although , most of the managers have no idea what the situation is about , still they chair the large meetings by copying the work of their subordinates .   However , on the contrary , the person with high values , kind behaviour and loyal personality is often deemed as suspicious within the society . Because of the materialistic mindset , truthfulness and other good traits are not given priority . Therefore , as a result , it decreases the morale of a kind hearted ones and it also forces them to put their entire focus on becoming rich . Thus , as a result , the overall environment gets deprived of the basic ethics and consequently , the country 's economy face downfall .   In a nutshell , due to the fact that people are addicted to the sophisticated lifestyle , therefore , only countable assets are their only preference and those who lack these , are considered less important than others , who possess them .",6.5,6.5,6.5,6.5
"A person's worth nowadays seems to be judged according to social status and material possessions. Old-fashioned values, such as honour, kindness and trust, no longer seem important. To what extent do you agree or disagree with this opinion? Give reasons for your answer and include any relevant examples from your own knowledge or experience. Write at least 250 words.","Social status now @DATE @DATE become a status symbol to stand in the society . People will try to know about you if you have a material possession and good status in society . @ORG is laying a big role in this phenomenon . Having moral values , good cultures these are the personality traits of person which will remain with you long - life .   I strongly disagree with this statement that to stand in a society or to be a popular person you should have class . No , I believe this is applicable or fit only for the celebrities not for a common Man . A common man knows amongst people for his high values , his traits . @DATE 's generation is smart enough to understand what is permanent and temporary . These materialistic things are temporary only but ethics , culture , moral values which you gained or earned from your Grandfathers it will remain with you thru your life , because what you learnt from your parents it 's like a non - demolish able assets . Small- Small things i. e. our values , kindness , family , trust all are very much important you know a man by his behavior only and these all assets reflects in our personality whatever we are doing . In each activity a person can judge you what kind of personality you are .   Person having too much money , materialistic assets , property and luxurious life but all are waste if you do n't know how to behave and treat a @PERSON or any stranger . so all these things are not long lasting , they can leave you any time in between of your life so only feel proud on your personality traits which makes you popular and fascinate others to come to you and talk to you .   A relevant and realistic example I would like to share - A girl after wedding comes in In - laws family , in her wedding , parents gave her so many gifts , too much money , materialistic and costly presents however they know these all are temporary and they are not lifetime but parents knows what are the beliefs , values , ethics , family culutures , love , trust they have given her it will be with her and help her to make her place in In - Laws house and heart of family members . A girl in that family will be known for her down to earth and genuine nature not for her dowry .   At last in @ORG @ORG @ORG person is known for his simple living high thinking not for his materialistic things which are with him for a limited time period but the assets we have and our upbringing reflects how we behave in society that 's matters a lot and in short by our behavior only we can influence other which will be permanent - "" @ORDINAL and last impression - stays forever in heart "" .",5.5,5.5,5.5,5.5
"A person's worth nowadays seems to be judged according to social status and material possessions. Old-fashioned values, such as honour, kindness and trust, no longer seem important. To what extent do you agree or disagree with this opinion? Give reasons for your answer and include any relevant examples from your own knowledge or experience 8","It is generally considered that pride , generosity and belief are the vital factors in the life of a human being . We often see disgracing these moral values is not judged as ethical way of life . These moral principles have been replaced by prestigious life and luxurious standard of living . I agree with this statement and we will discuss the supporting reasons of these fundamental changes .   @ORDINAL , the main reason of replacement of moral values over lavishness is involvement of the media , which limelight this luxurious lifestyle as essential part of living . We have seen the way social media , news channels covers the lifestyle of sports person , huge industrialist and @GPE actors and actresses . Somewhere , this way of presenting the social status has been influencing the general public . For Instance- Controversies amongst @GPE stars or big business enterprise get more exposure than cultural and ethical factors of life . In this fashion , it becomes less important to have gracefulness , dignity or pride , but all matters are precious living of life .   @ORDINAL , Effectiveness of western culture and its adaptation by many other states have changed the public opinion about the decent values . Doing parties in pubs and resorts have been taken as consideration of plentiful pleasurable ways of living . After all , modernisation definitely has some impact on the people . Honesty , kindness and trust these words would extinct with the passage of time . It would have been better if we had accepted our basic ethics rather than inclusion of the expensive cost of living .   Hence , we can say , given old fashioned values have been left behind by human and acceptance of social status and material profession is moving at a rapid pace .",6.5,6.5,6.5,6.5
"A person's worth nowadays seems to be judged according to social status and material possessions. Old-fashioned values, such as honour, kindness and trust, no longer seem important. To what extent do you agree or disagree with this opinion? Give reasons for your answer and include any relevant examples from your own knowledge or experience 8","It is generally considered that pride , generosity and belief are the vital factors in the life of a human being . We often see disgracing these moral values is not judged as ethical way of life . These moral principles have been replaced by prestigious life and luxurious standard of living . I agree with this statement and we will discuss the supporting reasons of these fundamental changes .   @ORDINAL , the main reason of replacement of moral values over lavishness is involvement of the media , which limelight this luxurious lifestyle as essential part of living . We have seen the way social media , news channels covers the lifestyle of sports person , huge industrialist and @GPE actors and actresses . Somewhere , this way of presenting the social status has been influencing the general public . For Instance- Controversies amongst @GPE stars or big business enterprise get more exposure than cultural and ethical factors of life . In this fashion , it becomes less important to have gracefulness , dignity or pride , but all matters are precious living of life .   @ORDINAL , Effectiveness of western culture and its adaptation by many other states have changed the public opinion about the decent values . Doing parties in pubs and resorts have been taken as consideration of plentiful pleasurable ways of living . After all , modernisation definitely has some impact on the people . Honesty , kindness and trust these words would extinct with the passage of time . It would have been better if we had accepted our basic ethics rather than inclusion of the expensive cost of living .   Hence , we can say , given old fashioned values have been left behind by human and acceptance of social status and material profession is moving at a rapid pace .",6.5,6.5,6.5,6.5
"A person's worth nowadays seems to be judged according to social status and material possessions. Old-fashioned values, such as honour, kindness and trust, no longer seem important. To what extent do you agree or disagree with this opinion? Give reasons for your answer and include any relevant examples from your own knowledge or experience. Write at least 250 words.","According to some people , it is better to get adjustable with a bad situation , whereas , other people think it is better to turn these situations around by improving themselves . In this essay , I will discuss each side and give my own opinion . @ORDINAL , I will talk about accepting a bad situation and @ORDINAL , I will provide arguments for improving a particular situation .   People mostly tend to not take any risk in financial world or business as for them , it is their hard - earned money . In terms of risk , sometimes a long period @ORG is taken or a loan for which they are bound to their work for long years and do not work in field of their interest , but for their bills and liabilities . Situations like this will make a person belive that fate is responsible for their financial doom and in addition to this , they will no longer take any risk or experiment new things in life , which ultimately leads to monotonous , vegetated lifestyle . Therefore , making them accept and get adjusted with their current situation .   In contrast to this , any situation or scenario , financial or personal , can be taken positively and a person may work towards it to make it better . For example , @PERSON @PERSON was fired from CEO position of @PERSON when he went with his wife on honeymoon . At that time , he was a considerable shareholder and received @MONEY @MONEY @MONEY from selling those shares . He could have easily settled in a big house with expensive cars ad do nothing , but , he decided to opt for a business , SpaceX , which is now one of the world 's biggest space exploration organization . Thus , being able to take risk in life , a person not only improves the situation , but also gains experience .   In concusion , there is no need for a person to accept a situation and sit idly by when there are opportunities that can turn life @TIME @TIME @TIME . In my opinion , people can manage their financial situation by just applying their brain and work towards a goal or project and take risk that is not conventional to society . Also , taking the risk may lead to failure , but we should never forget that @ORG developed electricity in more than 900 failed attempts .",6.0,6.0,6.0,6.0
"A person's worth nowadays seems to be judged according to social status and material possessions. Old-fashioned values, such as honour, kindness and trust, no longer seem important. To what extent do you agree or disagree with this opinion? Give reasons for your answer and include any relevant examples from your own knowledge or experience. Write at least 250 words. 0","Given the power and influence of the super rich , it might seem as if social status and   Material possessions are the new symbols of personal worth , but in everyday life I do not   Think this is true .   It is apparent that most celebrities @DATE are admired or envied solely for their material   Wealth or position in various social hierarchies . Many of these people are known to turn   Their backs on friends , cheat on their spouses or spend their evenings over - indulging in   Alcohol and/or drugs . Things like owning a mansion , driving an expensive car and   Getting into A - list parties are exalted above old - fashioned values . Ultimately , though , it is   The many readers of gossip magazines and celebrity blogs who reinforce these ideas .   Nevertheless , I do believe that in their day - to - day lives most people still believe in values   such as honour , kindness and trust . In some way most of us want to form loving families ,   Raise our children to be good citizens , stand up for the downtrodden and protect our @LOC from harm . We still form friendships , romances and business partnerships @PERSON on old - fashioned criteria . When our trust is abused or we are unfairly treated , we See that as a major violation of our relationship and we judge the wrongdoer accordingly .   In conclusion , I believe there is some truth to the notion that status and possessions   Have superseded old - fashioned values as a measure of a person 's worth . Looking   Beyond the tabloids , however , it is apparent that most ordinary people have still   Preserved an old - fashioned conscience .",6.0,6.0,6.0,6.0
"A person's worth nowadays seems to be judged according to social status and material possessions. Old-fashioned values, such as honour, kindness and trust, no longer seem important. To what extent do you agree or disagree with this opinion? Give reasons for your answer and include any relevant examples from your own knowledge or experience. Write at least 250 words.","Given the power and influence of the super rich , it might seem as if social status and   material possessions are the new symbols of personal worth , but in everyday life I do not think this is true . It is apparent that most celebrities @DATE are admired or envied solely for their material wealth or position in various social hierarchies . Many of these people are known to turn their backs on friends , cheat on their spouses or spend their evenings over - indulging in alcohol and/or drugs . Things like owning a mansion , driving an expensive car and getting into A - list parties are exalted above old - fashioned values . Ultimately , though , it is the many readers of gossip magazines and celebrity blogs who reinforce these ideas . Nevertheless , I do believe that in their day - to - day lives most people still believe in values such as honour , kindness and trust . In some way most of us want to form loving families , raise our children to be good citizens , stand up for the downtrodden and protect our communities from harm . We still form friendships , romances and business partnerships based on old - fashioned criteria . When our trust is abused or we are unfairly treated , we see that as a major violation of our relationship and we judge the wrongdoer accordingly . In conclusion , I believe there is some truth to the notion that status and possessions   have superseded old - fashioned values as a measure of a person 's worth . Looking   beyond the tabloids , however , it is apparent that most ordinary people have still   preserved an old - fashioned conscience .",5.5,5.5,5.5,5.5
"A person's worth nowadays seems to be judged according to social status and material possessions. Old-fashioned values, such as honour, kindness and trust, no longer seem important. To what extent do you agree or disagree with this opinion? Give reasons for your answer and include any relevant examples from your own knowledge or experience. 7","Have you ever noticed the thinking process of a child , regarding toys ? They always seem to want what other children have . It is as though , they judge them to be , perhaps cooler , because they have the so and so toy . It is no different in older people .   Generally , a good suitor for marriage is judged to be "" good "" based on what he earns . It is as though humans have always been naturally judged by their possessions . However , I will not characterize honour , kindness and trust as old - fashioned . While these values are not actually worth money , they have always been the strongest basis of all of our relationships and life decisions . Therefore , I disagree with the above statement very strongly and this essay will explain why .   No matter how far we all go in terms of tech and modernization , every human instinctively respects these values . What happens to the filthy rich couple , when one of them cheats ? The money and status do not help . And , if the other one decides not to forgive the infidelity , they end up making the biggest decision of their lives . While money , social status and material possessions are initially important to most people- they are temporary .   @CARDINAL of my closest friends got married to someone immensely wealthy , while she was in love with another person . The other person did not have much in life to offer to her but loyalty and commitment . Soon after , her husband got defrauded and his business went down the drain . What she prized the most was in fact temporary .   Conclusively , values such as honour , kindness and trust are not old - fashioned , they still for the "" code of ethics "" of the greatest companies in the world . Although not looked at initially , they will always stand to be the basis of long - term human judgement .",6.5,6.5,6.5,6.5
"A person's worth nowadays seems to be judged according to social status and material possessions. Old-fashioned values, such as honour, kindness and trust, no longer seem important. To what extent do you agree or disagree with this opinion? Give reasons for your answer and include any relevant examples from your own knowledge or experience. Write at least 250 words. 6","In the current materialistic world we live in , we are bound to see a lot of people being judged by their material values and social status . Sadly , this statement can not be refuted as we can see a lot of such occurrences , but still , I would say that this is not entirely true .   Most people @DATE are intent on building up their social status and wealth , but there is still a general perception among the people to do deeds which are constructive to society . Even now , we are taught to be honest , kind and friendly towards our peers and fellow people in society . We thrive to make the right decisions and are fitted with a conscience , which can specify when there 's something wrong in our outlook .   As with everything , there are negative sides to this argument and there are people to whom self - sustainability is the only priority . Such people do n't value these old - fashioned attributes and their lives are prone to disorientation when something goes wrong . But , I would say that these kinds of people make up a very small , creamy layer in the entire populace . The other side of this coin is where you can see the larger section of the population in . These are people who focus on building good values and judge the other person based on their values . You can be a super - rich person , but to this populace , the amount of goodness and endowment to the society is what matters the most .   In conclusion , though , I would n't be able to refute the fact that there 's a lot of materialistic selfishness there , they have not and will not overcome the goodness that is present in the world .",6.5,6.5,6.5,6.5
"A person's worth nowadays seems to be judged according to social status and material possessions. Old-fashioned values, such as honour, kindness and trust, no longer seem important. To what extent do you agree or disagree with this opinion? Give reasons for your answer and include any relevant examples from your own knowledge or experience. Write at least 250 words. ","In the modern world the worst of an individual is evaluated basing on see status in society and material possessions . At the same time , how did it values , including owner , kindness and @ORG seem to lose their past importance . From my point of view , even though status and wealth became predominant in judging one 's worse , old - fashioned personal values have not lost their meaning yet .   On the other hand , Society venerate personalities , who achieved success , possess power and respect . For example , during community events , such as dinners in formal ceremonies , people both consciously and unconsciously tend to pay attention to and ask him if he @PERSON of those figures , who have highly paid positions in succeeding companies . Or , another example , is when personalities with impressive cash assets tend to have more attention and respect from media , government , and @ORG in general . Thus , it is not objective to refute the opinion that social status and wealth of a person play a key role in judging his value .   However , there is no reason to say that previously mentioned values eliminated the importance of being honorable , kind and trustworthy . When people choose their friends , they often put @ORG header @CARDINAL sticks of the person to the @ORDINAL place . In order to overcome difficult unforeseen life situations one needs reliable comrade , who 's kind hearts with enable him to empathize and support the friend in need . Hence , old - fashioned values such as owner , kindness and @ORG are still important in determining one 's worth .   To conclude , despite the fact that , in general , @ORG tends to judge persons words spacing on his social status in @ORG , it still considered humane values like honor , kind - heartedness and reliability as crucial in creating one 's importance .",6.0,6.0,6.0,6.0
"A person's worth nowadays seems to be judged according to social status and material possessions. Old-fashioned values, such as honour, kindness and trust, no longer seem important. To what extent do you agree or disagree with this opinion? Give reasons for your answer and include any relevant examples from your own knowledge or experience. Write at least 250 words. ","In @DATE @DATE and age , one is firstly determined by his social status and how many things he owns and his manner comes at the @ORDINAL . The reasons for this might be our modern society and our new way of thinking . In my opinion , indeed , old - fashioned values do not seem as important as it was .   @ORDINAL of all , modern society has created more modern values , such as one 's possessions and success . For instance , as the phone business continues to grow , people have been spending more and more money on buying phones . People now will treat you the same as the value of that phone . Another example is whether you are successful or not . The only thing that they care about is how much money you have made , how many houses you bought , etc . Nobody will take into consideration your kindness .   @ORDINAL , as time changes , our way of thinking does change , too . People nowadays mostly only know how to make profits and take advantage of other people . If they go on nicely doing their work , they soon will lose their money and then become poor . No one will ever respect them . Moreover , in @DATE @DATE @DATE @DATE , you can not trust anyone completely . You must always have doubts seeing that "" trust "" is no longer important .   In conclusion , nowadays , social status and one 's success are more essential than trust , honour and kindness . The modern society , as well as our new way of judging other people , maybe the reasons that lead to this opinion .",6.0,6.0,6.0,6.0
"A person's worth nowadays seems to be judged according to social status and material possessions. Old-fashioned values, such as honour, kindness and trust, no longer seem important. To what extent do you agree or disagree with this opinion? Give reasons for your answer and include any relevant examples from your own knowledge or experience. ","In @DATE 's day and age , where we spend most of our time chasing wealth and material gains , I agree that a person 's worth @DATE @DATE is mostly judged based on social status and material possessions . However , old - fashioned values such as trust , kindness and honour still play an important role in forging deep , meaningful relationships .   In my personal opinion , I think when it comes to @ORDINAL impressions , we do judge a person 's worth by their material possessions and social status . For example , when we meet someone dressed to the nines , we instantly deem them as being good and worthy of our respect . On the contrary , when we come across underprivileged individuals or poverty - stricken individuals , we tend to look at the person in a different light .   A quick scroll through social networking sites such as @ORG , Facebook would prove the same . The current society worships celebrities and social media influencers such as @NORP more than @WORK_OF_ART @WORK_OF_ART award winners such as @PERSON @PERSON . These celebrities and social media influencers have @CARDINAL if not millions of followers . They are looked up to as role models and given platforms to share their views simply because of their wealth and social status .   However , when it comes to forging deep , meaningful relationships , we look past the social status and material possessions and old - fashioned values such as trust , kindness and honour are given more weight in determining a person 's worth . We still expect our partner , family members , friends and community to be trustworthy , to be kind and to do the right thing . When we get to know someone on a personal level , we make values such as trust , honour and honesty the basis of the relationship . Additionally , even with celebrities and famous people , when the individual has wronged or acted in such a manner that they do n't embody the right values and morals , society condemns the actions and judges the wrong doer accordingly .   To conclude , I believe that we only judge a person 's worth by their social status and material possessions when we @ORDINAL meet them but as the relationship deepens , we measure the person 's worth by their values and morals .",6.0,6.0,6.0,6.0
"A person's worth nowadays seems to be judged according to social status and material possessions. Old-fashioned values, such as honour, kindness and trust, no longer seem important. To what extent do you agree or disagree with this opinion? Give reasons for your answer and include any relevant examples from your own knowledge or experience. Write at least 250 words.","It is more and more typical of our society to pay attention to richness and social position which people convey , rather than human values . Kind and reliable people seem that are not important in our society anymore . In my opinion , this is not true in real life between real people , because it is a tendency of social media and television to focus more on appearance rather than on important values such as kindness and reliance on others .   @ORDINAL , human relationships base their importance on trust between @CARDINAL people and it does not matter the amount of money a person earns or the number of cars somebody own . As a matter of fact , I do not think a man and a woman decide to pass their entire life without relying on each other . All in all , we choose people who can stand by ourselves in relation to love , confidence , kindness and importance they give us .   However , there is a portion of humankind that is unfairly growing which relates a person 's importance with economical wealth and social status . As an example , social media such as @ORG or Facebook , are full of people trying at every cost to appear better than they are , in order to gain reputation and then money . In particular , they tend to show themselves near beautiful girls , nice cars and luxurious places , as if like money could buy anything a person wants .   In conclusion , even if social media have been strengthening the importance of appearance and money for @DATE , I still think that dated values are tacit but always present , because they permit us to relate with other people , to gain a true social position which is reached without economical or showy means .",6.5,6.5,6.5,6.5
"A person's worth nowadays seems to be judged according to social status and material possessions. Old-fashioned values, such as honour, kindness and trust, no longer seem important. To what extent do you agree or disagree with this opinion? Give reasons for your answer and include any relevant examples from your own knowledge or experience. ","Most of the people in this world calculated the person 's value depending on the money Where as values which have been given importance in the olden days like virtue , truth , generosity is forgotten . In my Opinion a man can be judged based on his personality traits , but not on the material @EVENT .   @ORDINAL , measuring a person 's worth based on the qualities like social status and money is completely erroneous . For instance , we are not estimating our parent 's based on the properties they have . As follows one can not measure an individual 's value depending on the belongings .   If we are eccentric about material gains then the world will become a bad place to live . Also as per the survey conducted by the Psychology department of @ORG @ORG @ORG it 's been releaved that many in the society given respect to rich has increased drastically in @DATE @DATE @DATE @DATE from @PERCENT @PERCENT @PERCENT @PERCENT @PERCENT . It shows how materialistic we are   On the Contrary , Some people argue that they are respecting the rich people because of the qualities they have . If this is the case , then it 's acceptable to revere such kind of persons which are richer . For example , everybody in this globe respects @PERSON @PERSON due to his character and the accomplishments made by him . In the world there is a parity of respecting the general kind qualities and intellectual abilities .   The conclusion is , even though we should respect a person depends on the money he has , but it 's not the only benchmark to certify a man 's character . We can encourage the nice qualities in a generous human being , so that it will set an example for the children to follow in the shoes of the @PERSON man .",6.0,6.0,6.0,6.0
"A person's worth nowadays seems to be judged according to social status and material possessions. Old-fashioned values, such as honour, kindness and trust, no longer seem important. To what extent do you agree or disagree with this opinion? Give reasons for your answer and include any relevant examples from your own knowledge or experience. Write at least 250 words.","Nowadays the core values of our existence has completely changed , there used to be an era when humanity and kindness was next to godliness . As above mentioned a persons worth has shifted from its individual character to material possession , social status and so on . In the following essay I will give an general idea of current societies thoughts . Our current society is trying its best to cope with the current pace of trends . Globalization has increased a competitiveness in each persons out there , be it to become a successful employ or to be in the top of business , to get promotion in work place everywhere its a competition . As said by @PERSON ' only survival of the fittest ' and each individual has taken it to their heart . I personally disagree with the fact of judging a person solely based on their social status and possessions , because in the long run its not wealth or material things that matter , instead a person has to be charismatic and honest . I had seen a person who had all the wealth he dreamt of , but by nature he is wicked and cunning . Obviously for the short period he was admired and treated well by the society but due to an unexpected crisis he lost all his wealth and possessions , he was shown with with harsh reality of being lonely and no one even bothered to care about him . He lead rest of his life in misery and ended up in jail for commiting hinaous crime . The point of view of society has actually led many individuals to burry their values and focus on accumulating more wealth be it through straight or crooked way . I hope their will be a shift in thinking of the society in @DATE @DATE @DATE so that the future generation can lead a peaceful life and help each other develop true personality like understanding , trust , honesty . These traits will not give an individual true happiness but will make the people in their surrounding content and bliss .",5.5,5.5,5.5,5.5
